Date,Amount,Transaction Id,Transaction type,Transaction details,Balance*
8-Aug-17,-$7.00,0,Test,Test,$5.00
8-Aug-17,-$4.00,0,Test,Test,$12.00
7-Aug-17,-$80.00,0,Test,Test,$16.00
7-Aug-17,-$39.80,0,Test,Test,$96.00
7-Aug-17,-$4.00,0,Test,Test,$135.80
7-Aug-17,$20.00,0,Test,Test,$143.00
7-Aug-17,-$3.20,0,Test,Test,$139.80
4-Aug-17,-$7.00,0,Test,Test,$123.00
4-Aug-17,-$3.32,0,Test,Test,$130.00
3-Aug-17,-$20.00,0,Test,Test,$133.32
3-Aug-17,-$2.00,0,Test,Test,$153.32
2-Aug-17,-$45.00,0,Test,Test,$155.32
2-Aug-17,$0.23,0,Test,Test,$200.32
2-Aug-17,$2.09,0,Test,Test,$200.09
2-Aug-17,$35.00,0,Test,Test,$198.00
1-Aug-17,-$7.00,0,Test,Test,$163.00
1-Aug-17,$170.00,0,Test,Test,$170.00
31-Jul-17,-$120.00,0,Test,Test,$0.00
31-Jul-17,-$6.01,0,Test,Test,$120.00
31-Jul-17,-$5.00,0,Test,Test,$126.01
31-Jul-17,-$4.00,0,Test,Test,$131.01
31-Jul-17,$0.01,0,Test,Test,$135.01
31-Jul-17,$35.00,0,Test,Test,$135.00
26-Jul-17,-$700.00,0,Test,Test,$100.00
26-Jul-17,-$84.36,0,Test,Test,$800.00
26-Jul-17,-$32.58,0,Test,Test,$884.36
26-Jul-17,$32.58,0,Test,Test,$916.94
26-Jul-17,$84.36,0,Test,Test,$884.36
26-Jul-17,$100.00,0,Test,Test,$800.00
26-Jul-17,$700.00,0,Test,Test,$700.00
24-Jul-17,-$16.20,0,Test,Test,$14.10
24-Jul-17,-$4.00,0,Test,Test,$38.90
25-Jul-17,-$14.10,0,Test,Test,$0.00
24-Jul-17,-$8.60,0,Test,Test,$30.30
21-Jul-17,-$4.50,0,Test,Test,$42.90
21-Jul-17,-$4.00,0,Test,Test,$47.40
19-Jul-17,-$20.00,0,Test,Test,$51.40
19-Jul-17,-$3.70,0,Test,Test,$71.40
18-Jul-17,-$120.00,0,Test,Test,$75.10
18-Jul-17,-$35.00,0,Test,Test,$195.10
18-Jul-17,-$33.90,0,Test,Test,$230.10
18-Jul-17,-$10.00,0,Test,Test,$264.00
18-Jul-17,-$4.00,0,Test,Test,$274.00
18-Jul-17,$35.00,0,Test,Test,$278.00
18-Jul-17,$35.48,0,Test,Test,$243.00
18-Jul-17,$190.00,0,Test,Test,$207.52
17-Jul-17,-$50.00,0,Test,Test,$17.52
17-Jul-17,-$17.60,0,Test,Test,$67.52
14-Jul-17,-$40.00,0,Test,Test,$85.12
14-Jul-17,-$4.00,0,Test,Test,$153.40
14-Jul-17,-$28.28,0,Test,Test,$125.12
13-Jul-17,-$40.00,0,Test,Test,$157.40
13-Jul-17,-$9.71,0,Test,Test,$197.40
13-Jul-17,$60.00,0,Test,Test,$207.11
12-Jul-17,-$60.00,0,Test,Test,$147.11
12-Jul-17,-$9.90,0,Test,Test,$207.11
12-Jul-17,-$8.99,0,Test,Test,$217.01
12-Jul-17,-$4.00,0,Test,Test,$226.00
12-Jul-17,$60.00,0,Test,Test,$230.00
12-Jul-17,$163.35,0,Test,Test,$170.00
11-Jul-17,-$11.50,0,Test,Test,$6.65
11-Jul-17,-$5.00,0,Test,Test,$18.15
11-Jul-17,-$3.50,0,Test,Test,$23.15
10-Jul-17,-$35.00,0,Test,Test,$26.65
10-Jul-17,-$20.00,0,Test,Test,$61.65
10-Jul-17,-$10.50,0,Test,Test,$81.65
10-Jul-17,-$10.50,0,Test,Test,$92.15
10-Jul-17,-$4.99,0,Test,Test,$102.65
10-Jul-17,$35.00,0,Test,Test,$107.64
7-Jul-17,-$11.70,0,Test,Test,$72.64
7-Jul-17,-$10.00,0,Test,Test,$84.34
7-Jul-17,-$6.50,0,Test,Test,$94.34
7-Jul-17,-$4.00,0,Test,Test,$100.84
6-Jul-17,-$3.70,0,Test,Test,$104.84
5-Jul-17,-$33.90,0,Test,Test,$108.54
5-Jul-17,-$15.90,0,Test,Test,$142.44
5-Jul-17,-$11.70,0,Test,Test,$158.34
5-Jul-17,$158.00,0,Test,Test,$170.04
4-Jul-17,-$15.00,0,Test,Test,$28.24
4-Jul-17,-$10.00,0,Test,Test,$54.49
4-Jul-17,-$4.00,0,Test,Test,$72.69
4-Jul-17,$20.00,0,Test,Test,$76.69
4-Jul-17,-$16.20,0,Test,Test,$12.04
3-Jul-17,-$215.00,0,Test,Test,$56.69
3-Jul-17,-$35.00,0,Test,Test,$271.69
3-Jul-17,-$21.31,0,Test,Test,$306.69
3-Jul-17,$35.00,0,Test,Test,$328.00
3-Jul-17,$210.00,0,Test,Test,$293.00
4-Jul-17,-$8.20,0,Test,Test,$64.49
4-Jul-17,-$11.25,0,Test,Test,$43.24
30-Jun-17,-$20.00,0,Test,Test,$83.00
30-Jun-17,-$16.50,0,Test,Test,$103.00
30-Jun-17,-$4.50,0,Test,Test,$119.50
29-Jun-17,-$12.60,0,Test,Test,$124.00
29-Jun-17,-$10.50,0,Test,Test,$136.60
29-Jun-17,-$3.70,0,Test,Test,$147.10
28-Jun-17,-$500.00,0,Test,Test,$150.80
28-Jun-17,-$9.70,0,Test,Test,$650.80
28-Jun-17,-$9.50,0,Test,Test,$660.50
28-Jun-17,-$7.45,0,Test,Test,$670.00
28-Jun-17,$170.00,0,Test,Test,$677.45
28-Jun-17,$500.00,0,Test,Test,$507.45
27-Jun-17,-$33.90,0,Test,Test,$7.45
27-Jun-17,-$11.60,0,Test,Test,$41.35
27-Jun-17,-$5.50,0,Test,Test,$52.95
27-Jun-17,-$4.00,0,Test,Test,$58.45
27-Jun-17,$15.00,0,Test,Test,$62.45
26-Jun-17,-$27.00,0,Test,Test,$78.10
26-Jun-17,-$20.00,0,Test,Test,$105.10
26-Jun-17,-$2.00,0,Test,Test,$125.10
26-Jun-17,$20.00,0,Test,Test,$127.10
26-Jun-17,-$30.65,0,Test,Test,$47.45
23-Jun-17,-$35.00,0,Test,Test,$107.10
23-Jun-17,-$4.00,0,Test,Test,$142.10
23-Jun-17,-$3.70,0,Test,Test,$146.10
23-Jun-17,$35.00,0,Test,Test,$149.80
22-Jun-17,-$33.90,0,Test,Test,$114.80
22-Jun-17,-$13.60,0,Test,Test,$148.70
22-Jun-17,-$4.00,0,Test,Test,$162.30
22-Jun-17,-$3.70,0,Test,Test,$166.30
21-Jun-17,"-$1,000.00",0,Test,Test,$170.00
21-Jun-17,-$29.21,0,Test,Test,"$1,170.00"
21-Jun-17,$170.00,0,Test,Test,"$1,199.21"
21-Jun-17,"$1,026.90",0,Test,Test,"$1,029.21"
20-Jun-17,-$17.50,0,Test,Test,$2.31
20-Jun-17,-$8.70,0,Test,Test,$19.81
19-Jun-17,-$33.90,0,Test,Test,$36.31
19-Jun-17,-$13.90,0,Test,Test,$86.11
19-Jun-17,-$7.90,0,Test,Test,$100.01
19-Jun-17,-$4.00,0,Test,Test,$107.91
19-Jun-17,-$3.70,0,Test,Test,$115.91
19-Jun-17,$20.00,0,Test,Test,$119.61
